route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
1,TRAIN-A23-Blocks-Dimanche-01,4083489-TRAIN-A23-Blocks-Dimanche-01,Vaudreuil,1,10216,61,0,1
1,TRAIN-E23-Blocks-Dimanche-01,4083489-TRAIN-E23-Blocks-Dimanche-01,Vaudreuil,1,10216,61,0,1
1,TRAIN-A23-Blocks-Fête-1-01,4083489-TRAIN-A23-Blocks-Fête-1-01,Vaudreuil,1,10216,61,0,1
1,TRAIN-A23-Blocks-Dimanche-01,4083490-TRAIN-A23-Blocks-Dimanche-01,Vaudreuil,1,10216,63,0,1
1,TRAIN-E23-Blocks-Dimanche-01,4083490-TRAIN-E23-Blocks-Dimanche-01,Vaudreuil,1,10216,63,0,1
1,TRAIN-A23-Blocks-Fête-1-01,4083490-TRAIN-A23-Blocks-Fête-1-01,Vaudreuil,1,10216,63,0,1
1,TRAIN-A23-Blocks-Dimanche-01,4083491-TRAIN-A23-Blocks-Dimanche-01,Vaudreuil,1,10216,65,0,1
1,TRAIN-E23-Blocks-Dimanche-01,4083491-TRAIN-E23-Blocks-Dimanche-01,Vaudreuil,1,10216,65,0,1
1,TRAIN-A23-Blocks-Fête-1-01,4083491-TRAIN-A23-Blocks-Fête-1-01,Vaudreuil,1,10216,65,0,1
1,TRAIN-A23-Blocks-Dimanche-01,4083492-TRAIN-A23-Blocks-Dimanche-01,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-E23-Blocks-Dimanche-01,4083492-TRAIN-E23-Blocks-Dimanche-01,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-A23-Blocks-Fête-1-01,4083492-TRAIN-A23-Blocks-Fête-1-01,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-A23-Blocks-Dimanche-01,4083493-TRAIN-A23-Blocks-Dimanche-01,Lucien-L'Allier,0,10215,62,0,1
1,TRAIN-E23-Blocks-Dimanche-01,4083493-TRAIN-E23-Blocks-Dimanche-01,Lucien-L'Allier,0,10215,62,0,1
1,TRAIN-A23-Blocks-Fête-1-01,4083493-TRAIN-A23-Blocks-Fête-1-01,Lucien-L'Allier,0,10215,62,0,1
