"service_id","date","exception_type"
"88CCEBD2","20230825","1"
"88CCEBD2","20230828","1"
"88CCEBD2","20230829","1"
"88CCEBD2","20230830","1"
"88CCEBD2","20230831","1"
"88CCEBD2","20230901","1"
"90950CE3","20230826","1"
"90950CE3","20230827","1"
"90950CE3","20230902","1"
"90950CE3","20230903","1"
"90950CE3","20230904","1"
"7ED5CB9A","20230901","1"
"E4AC4EE1","20230825","1"
"E4AC4EE1","20230829","1"
"E4AC4EE1","20230830","1"
"E4AC4EE1","20230831","1"
"E4AC4EE1","20230901","1"
"A3CCDC85","20230825","1"
"A3CCDC85","20230828","1"
"A3CCDC85","20230829","1"
"A3CCDC85","20230830","1"
"A3CCDC85","20230831","1"
"2A26F8E9","20230831","1"
"F9172819","20230828","1"
"50961E14","20230828","1"
"50961E14","20230829","1"
"50961E14","20230830","1"
"50961E14","20230831","1"
"0F5EB4CE","20230825","1"
"0F5EB4CE","20230901","1"
"F8B31A4D","20230825","1"
"F8B31A4D","20230831","1"
"F8B31A4D","20230901","1"
"88803CC2","20230828","1"
"88803CC2","20230829","1"
"88803CC2","20230830","1"
"1F7CB139","20230827","1"
"1F7CB139","20230904","1"
"CB9B37D1","20230826","1"
"CB9B37D1","20230902","1"
"9C42F112","20230826","1"
"9C42F112","20230902","1"
"9C42F112","20230903","1"
"8F44EFAD","20230902","1"
"8F44EFAD","20230903","1"
"8F44EFAD","20230904","1"
"28C2D867","20230826","1"
"28C2D867","20230827","1"
"772F4EA3","20230828","1"
"772F4EA3","20230829","1"
"772F4EA3","20230830","1"
"772F4EA3","20230831","1"
"772F4EA3","20230901","1"
"2A91E528","20230825","1"
"AAD3FBEC","20230902","1"
"AAD3FBEC","20230903","1"
"29EDBBC7","20230826","1"
"29EDBBC7","20230827","1"
"29EDBBC7","20230904","1"
"435F4246","20230826","1"
"435F4246","20230902","1"
"435F4246","20230903","1"
"435F4246","20230904","1"
"44AA6721","20230827","1"
"A0362D94","20230905","1"
"A0362D94","20230906","1"
"A0362D94","20230907","1"
"A0362D94","20230908","1"
"A0362D94","20230911","1"
"A0362D94","20230912","1"
"A0362D94","20230913","1"
"A0362D94","20230914","1"
"A0362D94","20230915","1"
"A0362D94","20230918","1"
"A0362D94","20230919","1"
"A0362D94","20230920","1"
"A0362D94","20230921","1"
"A0362D94","20230922","1"
"A0362D94","20230925","1"
"A0362D94","20230926","1"
"A0362D94","20230927","1"
"A0362D94","20230928","1"
"A0362D94","20230929","1"
"A0362D94","20231002","1"
"A0362D94","20231003","1"
"A0362D94","20231004","1"
"A0362D94","20231005","1"
"A0362D94","20231006","1"
"A0362D94","20231009","1"
"A0362D94","20231010","1"
"A0362D94","20231011","1"
"A0362D94","20231012","1"
"A0362D94","20231013","1"
"A0362D94","20231016","1"
"A0362D94","20231017","1"
"A0362D94","20231018","1"
"A0362D94","20231019","1"
"A0362D94","20231020","1"
"A0362D94","20231023","1"
"A0362D94","20231024","1"
"A0362D94","20231025","1"
"A0362D94","20231026","1"
"A0362D94","20231027","1"
"A0362D94","20231030","1"
"A0362D94","20231031","1"
"A0362D94","20231101","1"
"A0362D94","20231102","1"
"A0362D94","20231103","1"
"A0362D94","20231106","1"
"A0362D94","20231107","1"
"A0362D94","20231108","1"
"A0362D94","20231109","1"
"A0362D94","20231110","1"
"6A876BBB","20230909","1"
"6A876BBB","20230910","1"
"6A876BBB","20230916","1"
"6A876BBB","20230917","1"
"6A876BBB","20230923","1"
"6A876BBB","20230924","1"
"6A876BBB","20230930","1"
"6A876BBB","20231001","1"
"6A876BBB","20231007","1"
"6A876BBB","20231008","1"
"6A876BBB","20231014","1"
"6A876BBB","20231015","1"
"6A876BBB","20231021","1"
"6A876BBB","20231022","1"
"6A876BBB","20231028","1"
"6A876BBB","20231029","1"
"6A876BBB","20231104","1"
"6A876BBB","20231105","1"
"6A876BBB","20231111","1"
"6A876BBB","20231112","1"
"7E62D65B","20230915","1"
"456B7C39","20230905","1"
"456B7C39","20230906","1"
"456B7C39","20230907","1"
"456B7C39","20230911","1"
"456B7C39","20230912","1"
"456B7C39","20230913","1"
"456B7C39","20230914","1"
"456B7C39","20230918","1"
"456B7C39","20230919","1"
"456B7C39","20230920","1"
"456B7C39","20230921","1"
"456B7C39","20230925","1"
"456B7C39","20230926","1"
"456B7C39","20230927","1"
"456B7C39","20230928","1"
"456B7C39","20231002","1"
"456B7C39","20231003","1"
"456B7C39","20231004","1"
"456B7C39","20231005","1"
"456B7C39","20231009","1"
"456B7C39","20231010","1"
"456B7C39","20231011","1"
"456B7C39","20231012","1"
"456B7C39","20231013","1"
"456B7C39","20231016","1"
"456B7C39","20231017","1"
"456B7C39","20231018","1"
"456B7C39","20231019","1"
"456B7C39","20231020","1"
"456B7C39","20231023","1"
"456B7C39","20231024","1"
"456B7C39","20231025","1"
"456B7C39","20231026","1"
"456B7C39","20231027","1"
"456B7C39","20231030","1"
"456B7C39","20231031","1"
"456B7C39","20231101","1"
"456B7C39","20231102","1"
"456B7C39","20231103","1"
"456B7C39","20231106","1"
"456B7C39","20231107","1"
"456B7C39","20231108","1"
"456B7C39","20231109","1"
"456B7C39","20231110","1"
"76A4C66A","20230908","1"
"76A4C66A","20230915","1"
"76A4C66A","20230922","1"
"76A4C66A","20230929","1"
"76A4C66A","20231006","1"
"1B57A1FF","20230905","1"
"1B57A1FF","20230911","1"
"1B57A1FF","20230918","1"
"1B57A1FF","20230925","1"
