service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
246065124606655,0,0,0,0,0,0,0,20241127,20250518
246067924608125,0,0,0,0,0,0,0,20241127,20250518
246064724606642,0,0,0,0,0,0,0,20241127,20250518
246064724606641,0,0,0,0,0,0,0,20241127,20250518
246069724606992,0,0,0,0,0,0,0,20241127,20250518
246070324607201,0,0,0,0,0,0,0,20241127,20250518
246073124608113,0,0,0,0,0,0,0,20241127,20250518
246073124608112,0,0,0,0,0,0,0,20241127,20250518
246073124608111,0,0,0,0,0,0,0,20241127,20250518
246064624606887,0,0,0,0,0,0,0,20241127,20250518
246072324607237,0,0,0,0,0,0,0,20241127,20250518
246068024608136,0,0,0,0,0,0,0,20241127,20250518
246064224606423,0,0,0,0,0,0,0,20241127,20250518
246069824606993,0,0,0,0,0,0,0,20241127,20250518
246066824606722,0,0,0,0,0,0,0,20241127,20250518
246067024606703,0,0,0,0,0,0,0,20241127,20250518
246068624606945,0,0,0,0,0,0,0,20241127,20250518
246070724607225,0,0,0,0,0,0,0,20241127,20250518
246072324607291,0,0,0,0,0,0,0,20241127,20250518
246073524608135,0,0,0,0,0,0,0,20241127,20250518
246073524608136,0,0,0,0,0,0,0,20241127,20250518
246064724606653,0,0,0,0,0,0,0,20241127,20250518
246064724606654,0,0,0,0,0,0,0,20241127,20250518
246068224606933,0,0,0,0,0,0,0,20241127,20250518
246069724607003,0,0,0,0,0,0,0,20241127,20250518
246070324607213,0,0,0,0,0,0,0,20241127,20250518
246070324607215,0,0,0,0,0,0,0,20241127,20250518
246070324607212,0,0,0,0,0,0,0,20241127,20250518
246073124608125,0,0,0,0,0,0,0,20241127,20250518
246073124608121,0,0,0,0,0,0,0,20241127,20250518
246073124608122,0,0,0,0,0,0,0,20241127,20250518
246073124608124,0,0,0,0,0,0,0,20241127,20250518
246068624608125,0,0,0,0,0,0,0,20241127,20250518
246071024607201,0,0,0,0,0,0,0,20241127,20250518
246071024607202,0,0,0,0,0,0,0,20241127,20250518
246071024607203,0,0,0,0,0,0,0,20241127,20250518
246069724607064,0,0,0,0,0,0,0,20241127,20250518
246065124608125,0,0,0,0,0,0,0,20241127,20250518
