stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
9B185FE9D08F4766A8CC6B76F2679FC0,,1,,38.52169,-77.29323,,,0,00000000000000000000000000000009,
F94650F367DD4D28AB4648C95746AFA6,,1,,38.79699,-77.18407,,,0,0000000000000000000000000000000D,
1E66EEF0911344ACB3B67E230A99DB81,,1,,38.80618,-77.06249,,,0,00000000000000000000000000000004,
7E1B4F506A5B47B7A2C858934721BE5A,,1,,38.79465,-77.25847,,,0,0000000000000000000000000000000E,
5BDF306E0863449AA3D02CF2C406BD05,,1,,38.72967,-77.52548,,,0,00000000000000000000000000000012,
888D000A2C144719ADBAD01EBDE23428,,1,,38.22099,-77.44081,,,0,dc8e2e569500000066c00b02130a0000,
4D1AD5D9903F4836984FF58680D1E950,,1,,38.85972,-77.04827,,,0,00000000000000000000000000000003,
64C983C0E74E491488B298F46879C65A,,1,,38.75022,-77.4725,,,0,00000000000000000000000000000011,
A0F9D1776F1A485A9E1A06A3C1261782,,1,,38.76596,-77.4403,,,0,00000000000000000000000000000010,
9500D42D80744F9499D42D654CA522E6,,1,,38.79743,-77.29874,,,0,0000000000000000000000000000000F,
B0B4F69638D547C988E9A71DB08D3BBC,,2,,38.76615,-77.16812,,,0,00000000000000000000000000000005,
34EA179D31FE4CA5A9A5A42D9CCE8156,,2,,38.52169,-77.29323,,,0,00000000000000000000000000000009,
5E1E78E6CA654F5AA0E2FE485DA71495,,2,,38.38725,-77.38128,,,0,0000000000000000000000000000000A,
7113724B905946399163A4CB5AAB66A1,,2,,38.65935,-77.248,,,0,00000000000000000000000000000007,
F97647CBCBB9473BA0AA6A1F3690AC40,,2,,38.79699,-77.18407,,,0,0000000000000000000000000000000D,
60ADB9309B084464BBCC2C1ABCD908E8,,2,,38.80618,-77.06249,,,0,00000000000000000000000000000004,
86470B019FB24F4E9102A97F07848105,,2,,38.71567,-77.21387,,,0,00000000000000000000000000000006,
AB34353A4B534F0A947855570C20511D,,2,,38.79743,-77.29874,,,0,0000000000000000000000000000000F,
6D12B7A7A44D4306AEC820AE68D7D775,,2,,38.79465,-77.25847,,,0,0000000000000000000000000000000E,
BD92F07447C74C9DA620D889725EF244,,2,,38.61237,-77.25349,,,0,00000000000000000000000000000008,
C6034C15ACE1455F9E34995B6B30B6C5,,2,,38.88559,-77.0212,,,0,00000000000000000000000000000002,
E67A53B0B9AB4E619C21D7C16C034501,,2,,38.34707,-77.43782,,,0,0000000000000000000000000000000B,
62E201E23B5148898D8B3B73B9395B4B,,2,,38.29825,-77.45683,,,0,0000000000000000000000000000000C,
96903F54359A47858D9D2F20F7AC4142,,2,,38.85972,-77.04827,,,0,00000000000000000000000000000003,
09598BFBF81A44E595DA4F1E71BFD7E1,,2,,38.75022,-77.4725,,,0,00000000000000000000000000000011,
1D840A897ECF4C77BA7E9886A0AC589F,,2,,38.76596,-77.4403,,,0,00000000000000000000000000000010,
61B844E260F84E6491D36828C23BF315,,22,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
9C3AF7FD9F3843009D8FA87B696ACD1C,,23,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
C845754982F24984973E6058D0E71E36,,24,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
3C34A3D06AB2428FA788DF48D0E1B2EB,,25,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
BE7E92139CCE44D0B490765E8234AF12,,26,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
C021E5A6B55443808121B5A69912A97B,,27,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
4018AAE5BB1149EE86028B65709402D7,,28,,38.89955,-77.00472,,,0,00000000000000000000000000000001,
0F47F802F2004EF384F10B91F1615E35,,3,,38.61237,-77.25349,,,0,00000000000000000000000000000008,
D683386639434BF7BBC2D41403B3001D,,3,,38.71567,-77.21387,,,0,00000000000000000000000000000006,
97C6F255492446709194E799A5740CF5,,3,,38.76615,-77.16812,,,0,00000000000000000000000000000005,
63707409C20540DBACC2808A7306AE61,,3,,38.52169,-77.29323,,,0,00000000000000000000000000000009,
3DF85DC91869485ABF7092EDF02ACB01,,3,,38.34707,-77.43782,,,0,0000000000000000000000000000000B,
27D4B760CFDB475FAE6E66C760D64442,,3,,38.38725,-77.38128,,,0,0000000000000000000000000000000A,
4B775E26C3324833BF59FB8A7ADE413D,,3,,38.29825,-77.45683,,,0,0000000000000000000000000000000C,
16A7F4BA1723417DA6545F754F79F729,,3,,38.65935,-77.248,,,0,00000000000000000000000000000007,
26C502B2E36D484DA6376618E6600DAF,,3,,38.80618,-77.06249,,,0,00000000000000000000000000000004,
8E0AECA660E44BA39BDF374FF1D09F96,,3,,38.85972,-77.04827,,,0,00000000000000000000000000000003,
BDF2C51AB16C4FF8A80F7D9566B983E2,,3,,38.88559,-77.0212,,,0,00000000000000000000000000000002,
BC30329248DF4E6E8A114C0822124408,,4,,38.88559,-77.0212,,,0,00000000000000000000000000000002,
00000000000000000000000000000004,,Alexandria,,38.80618,-77.06249,,,1,,
0000000000000000000000000000000D,,Backlick Road,,38.79699,-77.18407,,,1,,
00000000000000000000000000000012,,Broad Run,,38.72967,-77.52548,,,1,,
0000000000000000000000000000000A,,Brooke,,38.38725,-77.38128,,,1,,
0000000000000000000000000000000F,,Burke Centre,,38.79743,-77.29874,,,1,,
