shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,26.66362,-80.07174,185
1,26.66678,-80.07155,186
1,26.67644,-80.07071,187
1,26.67962,-80.07061,188
1,26.68856,-80.07062,189
1,26.69045,-80.07043,190
1,26.69139,-80.07003,191
1,26.69217,-80.06955,192
1,26.69351,-80.06814,193
1,26.69473,-80.06667,194
1,26.69737,-80.06369,195
1,26.69898,-80.06255,196
1,26.70078,-80.06202,197
1,26.7042,-80.06182,198
1,26.70538,-80.0619,199
1,26.70652,-80.06215,200
1,26.7077,-80.06221,201
1,26.70946,-80.06221,202
1,26.71027,-80.06231,203
1,26.71116,-80.06244,204
1,26.71334,-80.0624,205
1,26.71403,-80.06234,206
1,26.71486,-80.06213,207
1,26.71532,-80.06205,208
1,26.71572,-80.06204,209
1,26.71656,-80.06202,210
1,26.71745,-80.06204,211
1,26.71833,-80.06208,212
1,26.71923,-80.06217,213
1,26.72978,-80.06377,214
1,26.73386,-80.06436,215
1,26.7463,-80.06515,216
1,26.74826,-80.06532,217
1,26.7501,-80.06589,218
1,26.75174,-80.06694,219
1,26.75299,-80.06828,220
1,26.75559,-80.07216,221
1,26.75597,-80.07273,222
1,26.75664,-80.0738,223
1,26.75873,-80.07694,224
2,26.75873,-80.07694,1
2,26.75664,-80.0738,2
2,26.75597,-80.07273,3
2,26.75559,-80.07216,4
2,26.75299,-80.06828,5
2,26.75174,-80.06694,6
2,26.7501,-80.06589,7
2,26.74826,-80.06532,8
2,26.7463,-80.06515,9
2,26.73386,-80.06436,10
2,26.72978,-80.06377,11
2,26.71923,-80.06217,12
2,26.71833,-80.06208,13
2,26.71745,-80.06204,14
2,26.71656,-80.06202,15
2,26.71572,-80.06204,16
2,26.71532,-80.06205,17
2,26.71486,-80.06213,18
2,26.71403,-80.06234,19
2,26.71334,-80.0624,20
2,26.71116,-80.06244,21
2,26.71027,-80.06231,22
2,26.70946,-80.06221,23
2,26.7077,-80.06221,24
2,26.70652,-80.06215,25
2,26.70538,-80.0619,26
2,26.7042,-80.06182,27
2,26.70078,-80.06202,28
2,26.69898,-80.06255,29
2,26.69737,-80.06369,30
2,26.69473,-80.06667,31
2,26.69351,-80.06814,32
2,26.69217,-80.06955,33
2,26.69139,-80.07003,34
2,26.69045,-80.07043,35
2,26.68856,-80.07062,36
2,26.67962,-80.07061,37
2,26.67644,-80.07071,38
2,26.66678,-80.07155,39
2,26.66362,-80.07174,40
2,26.66058,-80.0714,41
2,26.65499,-80.07036,42
2,26.65242,-80.06978,43
2,26.64997,-80.069,44
