from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
76,76,,,245979624597974+242486+0,245979624597974+242877+0,1,
94,94,,,245979624597974+243996+0,245979624597974+242879+0,1,
76,76,,,245979624597964+242498+0,245979624597974+242881+0,1,
76,76,,,245979624597964+242294+0,245979624597974+242886+0,1,
76,76,,,245979624597974+242298+0,245979624597974+242891+1,1,
94,94,,,245979624597974+243999+0,245979624597974+242892+0,1,
76,76,,,245979624597974+242507+1,245979624597974+242894+1,1,
74,74,,,245979624597974+242301+1,245979624597974+242913+1,1,
76,76,,,245979624597974+242301+1,245979624597974+242965+1,1,
94,94,,,245979624597974+244127+0,245979624597974+243110+0,1,
76,76,,,245979624597974+242319+1,245979624597974+243112+1,1,
74,74,,,245979624597974+242323+1,245979624597974+243114+1,1,
76,76,,,245979624597974+242323+1,245979624597974+243118+1,1,
74,74,,,245979624597974+242562+1,245979624597974+243126+1,1,
94,94,,,245979624597974+244185+0,245979624597974+243133+0,1,
76,76,,,245979624597974+242562+1,245979624597974+243140+1,1,
76,76,,,245979624597974+242335+1,245979624597974+243169+1,1,
76,76,,,245979624597974+242605+1,245979624597974+243174+1,1,
94,94,,,245979624597974+244188+0,245979624597974+243177+0,1,
76,76,,,245979624597974+242613+1,245979624597974+243179+0,1,
76,76,,,245979624597974+242615+0,245979624597974+243184+0,1,
76,76,,,245979624597974+242618+0,245979624597974+243192+0,1,
76,76,,,245979624597974+242622+0,245979624597974+243196+0,1,
94,94,,,245979624597974+244192+0,245979624597974+243201+0,1,
94,94,,,245979624597974+244198+0,245979624597974+243209+0,1,
76,76,,,245979624597974+242638+0,245979624597974+243226+0,1,
94,94,,,245979624597974+244214+0,245979624597974+243228+0,1,
76,76,,,245979624597974+242640+0,245979624597974+243229+0,1,
33,33,,,245979624597974+243467+0,245979624597974+243241+1,1,
33,33,,,245979624597974+243471+1,245979624597974+243257+1,1,
33,33,,,245979624597974+243475+1,245979624597974+243260+1,1,
33,33,,,245979624597974+243475+1,245979624597974+243274+1,1,
33,33,,,245979624597974+243478+1,245979624597974+243288+1,1,
33,33,,,245979624597974+243480+1,245979624597974+243316+1,1,
33,33,,,245979624597974+243488+1,245979624597974+243328+1,1,
33,33,,,245979624597974+243492+1,245979624597974+243334+1,1,
33,33,,,245979624597974+243494+1,245979624597974+243334+1,1,
33,33,,,245979624597974+243497+1,245979624597974+243335+1,1,
33,33,,,245979624597974+243500+1,245979624597974+243343+1,1,
33,33,,,245979624597974+243503+1,245979624597974+243346+1,1,
33,33,,,245979624597974+243508+0,245979624597974+243353+0,1,
33,33,,,245979624597974+243512+0,245979624597974+243359+0,1,
33,33,,,245979624597974+243516+0,245979624597974+243373+0,1,
33,33,,,245979624597974+243521+0,245979624597974+243377+0,1,
20,20,,,245979624597974+242348+1,245979624597974+243386+1,1,
33,33,,,245979624597964+243523+0,245979624597974+243390+0,1,
18,18,,,245979624597974+242353+1,245979624597974+243394+1,1,
33,33,,,245979624597974+243528+0,245979624597974+243396+0,1,
18,18,,,245979624597974+242359+1,245979624597974+243400+1,1,
33,33,,,245979624597974+243531+0,245979624597974+243402+0,1,
33,33,,,245979624597974+243632+0,245979624597974+243416+0,1,
33,33,,,245979624597974+243704+0,245979624597974+243420+0,1,
18,18,,,245979624597974+242363+1,245979624597974+243421+1,1,
33,33,,,245979624597974+243743+0,245979624597974+243423+0,1,
33,33,,,245979624597974+243751+0,245979624597974+243424+0,1,
33,33,,,245979624597974+243871+0,245979624597974+243446+0,1,
33,33,,,245979624597974+243904+0,245979624597974+243451+0,1,
33,33,,,245979624597964+243911+0,245979624597974+243454+0,1,
33,33,,,245979624597974+243918+0,245979624597974+243457+0,1,
33,33,,,245979624597974+243925+0,245979624597974+243460+0,1,
33,33,,,245979624597974+243231+0,245979624597974+243466+0,1,
33,33,,,245979624597974+243247+0,245979624597974+243469+1,1,
33,33,,,245979624597974+243250+1,245979624597974+243470+1,1,
33,33,,,245979624597974+243254+1,245979624597974+243473+1,1,
33,33,,,245979624597974+243258+1,245979624597974+243474+1,1,
33,33,,,245979624597974+243282+1,245979624597974+243477+1,1,
33,33,,,245979624597974+243308+0,245979624597974+243482+0,1,
33,33,,,245979624597974+243314+0,245979624597974+243484+0,1,
33,33,,,245979624597964+243317+0,245979624597974+243486+0,1,
33,33,,,245979624597974+243323+0,245979624597974+243487+0,1,
33,33,,,245979624597974+243332+0,245979624597974+243491+0,1,
33,33,,,245979624597974+243337+0,245979624597974+243496+0,1,
33,33,,,245979624597974+243340+0,245979624597974+243499+0,1,
33,33,,,245979624597974+243344+0,245979624597974+243502+0,1,
33,33,,,245979624597974+243355+1,245979624597974+243510+1,1,
33,33,,,245979624597974+243371+1,245979624597974+243518+1,1,
33,33,,,245979624597974+243374+1,245979624597974+243518+1,1,
33,33,,,245979624597974+243378+1,245979624597974+243519+1,1,
33,33,,,245979624597974+243386+1,245979624597974+243519+1,1,
