route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
1,246018924601895,246018924601895+503012+0,Grand Central,792,1,,1,0,0
1,246017924601802,246017924601802+503013+0,Croton-Harmon,793,0,,12,1,0
1,246017924601813,246017924601813+503052+1,Poughkeepsie,813,0,,12,1,1
1,246018524601881,246018524601881+503052+1,Poughkeepsie,813,0,,12,1,1
1,246018224601825,246018224601825+503052+1,Poughkeepsie,813,0,,12,1,1
1,246018524601884,246018524601884+503052+1,Poughkeepsie,813,0,,12,1,1
1,246018524601882,246018524601882+503052+1,Poughkeepsie,813,0,,12,1,1
1,246017924601814,246017924601814+503053+1,Grand Central,814,1,,1,1,1
1,246018524601881,246018524601881+503053+1,Grand Central,814,1,,1,1,1
1,246019324601953,246019324601953+503086+1,Grand Central,836,1,,1,1,1
1,246018124601814,246018124601814+503117+0,Grand Central,846,1,,1,1,0
1,246019924602231,246019924602231+503133+1,Beacon,851,0,,12,1,1
1,246019924602233,246019924602233+503133+1,Beacon,851,0,,12,1,1
1,246018524601883,246018524601883+503133+1,Beacon,851,0,,12,1,1
1,246018524601881,246018524601881+503133+1,Beacon,851,0,,12,1,1
1,246019624602245,246019624602245+503148+0,Grand Central,858,1,,1,1,0
1,246019924602232,246019924602232+503149+0,Grand Central,858,1,,1,1,0
1,246017924601802,246017924601802+503165+1,Poughkeepsie,869,0,,12,1,1
1,246018524601851,246018524601851+503165+1,Poughkeepsie,869,0,,12,1,1
1,246018124601814,246018124601814+503165+1,Poughkeepsie,869,0,,12,1,1
1,246018424601847,246018424601847+503231+0,Croton-Harmon,8725,0,,12,1,0
1,246019224601921,246019224601921+503233+0,Croton-Harmon,8725,0,,12,0,0
1,246019724601976,246019724601976+503279+0,Grand Central,8738,1,,1,1,0
1,246019124601921,246019124601921+503281+0,Croton-Harmon,8739,0,,12,0,0
1,246019824602257,246019824602257+503282+0,Croton-Harmon,8739,0,,12,1,0
3,246017924601825,246017924601825+501307+0,Grand Central,1599,1,,5,1,0
6,246018924601895,246018924601895+501417+0,Waterbury,1902,0,,22,0,0
6,246018524601881,246018524601881+501417+0,Waterbury,1902,0,,22,1,0
6,246018524601883,246018524601883+501417+0,Waterbury,1902,0,,22,1,0
6,246017924601823,246017924601823+501418+0,Waterbury,1908,0,,22,1,0
6,246019924602244,246019924602244+501418+0,Waterbury,1908,0,,22,1,0
6,246017924601822,246017924601822+501418+0,Waterbury,1908,0,,22,1,0
6,246017924601823,246017924601823+501419+1,Bridgeport,1911,1,,11,1,1
2,246017924601823,246017924601823+501652+1,Crestwood,351,0,,14,1,1
2,246018524601883,246018524601883+501652+1,Crestwood,351,0,,14,1,1
2,246018524601881,246018524601881+501652+1,Crestwood,351,0,,14,1,1
1,246019924602244,246019924602244+501698+1,Grand Central,434,1,,1,1,1
1,246019924602243,246019924602243+501698+1,Grand Central,434,1,,1,1,1
1,246018524601883,246018524601883+501699+1,Grand Central,436,1,,1,1,1
1,246018524601882,246018524601882+501700+1,Grand Central,440,1,,1,1,1
1,246018524601881,246018524601881+501700+1,Grand Central,440,1,,1,1,1
1,246019324601953,246019324601953+501700+1,Grand Central,440,1,,1,1,1
1,246019324601964,246019324601964+501702+0,Greystone,443,0,,12,1,0
2,246021324602233,246021324602233+501764+1,North White Plains,505,0,,14,1,1
2,246021324602231,246021324602231+501764+1,North White Plains,505,0,,14,1,1
2,246018524601884,246018524601884+501765+1,Grand Central,506,1,,3,1,1
2,246018524601882,246018524601882+501765+1,Grand Central,506,1,,3,1,1
2,246019324601962,246019324601962+501765+1,Grand Central,506,1,,3,1,1
2,246019324601963,246019324601963+501766+1,North White Plains,507,0,,14,1,1
2,246020624602061,246020624602061+501877+1,North White Plains,547,0,,14,1,1
2,246018524601881,246018524601881+501879+1,North White Plains,547,0,,14,1,1
2,246018524601881,246018524601881+502074+1,Grand Central,608,1,,3,1,1
3,246019124601921,246019124601921+502115+0,Grand Central,6301,1,,5,0,0
3,246019724601976,246019724601976+502116+0,Stamford,6302,0,,16,1,0
3,246019124601917,246019124601917+502178+0,Stamford,6330,0,,16,0,0
3,246018324602256,246018324602256+502214+0,Stamford,6344,0,,16,1,0
3,246018424601847,246018424601847+502215+0,Stamford,6344,0,,16,1,0
3,246018324602256,246018324602256+502253+0,Grand Central,6359,1,,5,1,0
2,246017924601824,246017924601824+502292+0,Grand Central,638,1,,3,1,0
3,246018324601836,246018324601836+502393+0,Grand Central,6527,1,,5,1,0
3,246019124601917,246019124601917+502404+0,New Haven,6530,0,,16,0,0
3,246019824602257,246019824602257+502414+0,Grand Central,6533,1,,5,1,0
3,246018324602256,246018324602256+502415+0,New Haven,6534,0,,16,1,0
2,246018524601881,246018524601881+502466+1,Southeast,655,0,,14,1,1
2,246019324601965,246019324601965+502466+1,Southeast,655,0,,14,1,1
2,246019924602244,246019924602244+502466+1,Southeast,655,0,,14,1,1
2,246019924602245,246019924602245+502466+1,Southeast,655,0,,14,1,1
3,246018324602256,246018324602256+502467+0,New Haven,6550,0,,16,1,0
3,246019824602197,246019824602197+502499+0,New Haven,6560,0,,16,1,0
1,246019924602022,246019924602022+503089+0,Poughkeepsie,837,0,,12,1,0
1,246020724602094,246020724602094+503089+0,Poughkeepsie,837,0,,12,1,0
1,246019324601954,246019324601954+503119+0,Grand Central,846,1,,1,1,0
1,246018524601882,246018524601882+503135+1,Poughkeepsie,853,0,,12,1,1
1,246019324601954,246019324601954+503135+1,Poughkeepsie,853,0,,12,1,1
1,246018124601814,246018124601814+503151+0,Grand Central,862,1,,1,1,0
1,246022424602245,246022424602245+503151+0,Grand Central,862,1,,1,1,0
1,246018124601814,246018124601814+503167+0,Grand Central,870,1,,1,1,0
1,246018724601873,246018724601873+503167+0,Grand Central,870,1,,1,1,0
1,246021924602197,246021924602197+503236+0,Grand Central,8726,1,,1,1,0
1,246020524602057,246020524602057+503258+0,Croton-Harmon,8733,0,,12,1,0
1,246019624601965,246019624601965+503283+0,Grand Central,874,1,,1,1,0
1,246019724601976,246019724601976+503302+0,Croton-Harmon,8743,0,,12,1,0
1,246019824602257,246019824602257+503303+0,Croton-Harmon,8743,0,,12,1,0
1,246019824602256,246019824602256+503303+0,Croton-Harmon,8743,0,,12,1,0
1,246018324602256,246018324602256+503304+0,Grand Central,8744,1,,1,1,0
1,246019824602197,246019824602197+503305+0,Grand Central,8744,1,,1,1,0
1,246019824602197,246019824602197+503329+0,Grand Central,8750,1,,1,1,0
1,246018424601847,246018424601847+503329+0,Grand Central,8750,1,,1,1,0
3,246019624601965,246019624601965+501282+0,New Haven,1590,0,,16,1,0
3,246019924602022,246019924602022+501282+0,New Haven,1590,0,,16,1,0
6,246019924602241,246019924602241+501420+1,Bridgeport,1911,1,,11,1,1
6,246018524601884,246018524601884+501421+0,Waterbury,1916,0,,22,1,0
6,246019924602242,246019924602242+501421+0,Waterbury,1916,0,,22,1,0
6,246019324601963,246019324601963+501421+0,Waterbury,1916,0,,22,1,0
6,246017924601824,246017924601824+501423+1,Bridgeport,1925,1,,11,1,1
3,246019924602244,246019924602244+501653+1,Grand Central,3511,1,,5,1,1
3,246018524601881,246018524601881+501653+1,Grand Central,3511,1,,5,1,1
3,246018524601882,246018524601882+501653+1,Grand Central,3511,1,,5,1,1
3,246017924601822,246017924601822+501653+1,Grand Central,3511,1,,5,1,1
2,246020724602094,246020724602094+501654+1,North White Plains,353,0,,14,1,1
2,246017924601803,246017924601803+501654+1,North White Plains,353,0,,14,1,1
2,246022024602231,246022024602231+501655+1,North White Plains,353,0,,14,1,1
2,246022024602233,246022024602233+501655+1,North White Plains,353,0,,14,1,1
2,246020624602101,246020624602101+501655+1,North White Plains,353,0,,14,1,1
2,246018524601882,246018524601882+501655+1,North White Plains,353,0,,14,1,1
1,246019924602244,246019924602244+501704+0,Greystone,443,0,,12,1,0
2,246017924601823,246017924601823+501706+1,Grand Central,4608,1,,3,1,1
2,246018524601884,246018524601884+501706+1,Grand Central,4608,1,,3,1,1
2,246017924601825,246017924601825+501706+1,Grand Central,4608,1,,3,1,1
2,246017924601822,246017924601822+501706+1,Grand Central,4608,1,,3,1,1
2,246019324601964,246019324601964+501767+1,Grand Central,508,1,,3,1,1
2,246017924601825,246017924601825+501767+1,Grand Central,508,1,,3,1,1
2,246019324601963,246019324601963+501768+1,North White Plains,509,0,,14,1,1
2,246019924602244,246019924602244+501768+1,North White Plains,509,0,,14,1,1
2,246019924602241,246019924602241+501768+1,North White Plains,509,0,,14,1,1
2,246018524601883,246018524601883+501824+1,Grand Central,528,1,,3,1,1
2,246021324602232,246021324602232+501881+1,North White Plains,547,0,,14,1,1
2,246018224601825,246018224601825+502094+1,Grand Central,618,1,,3,1,1
2,246019324601952,246019324601952+502095+1,Grand Central,618,1,,3,1,1
3,246019124601921,246019124601921+502119+0,Grand Central,6305,1,,5,0,0
2,246018924601895,246018924601895+502149+1,Grand Central,632,1,,3,0,1
3,246019824602257,246019824602257+502181+0,Grand Central,6331,1,,5,1,0
2,246019924602245,246019924602245+502256+1,Grand Central,636,1,,3,1,1
2,246017924601822,246017924601822+502256+1,Grand Central,636,1,,3,1,1
3,246018324602256,246018324602256+502257+0,Stamford,6360,0,,16,1,0
2,246017924601824,246017924601824+502294+0,Mt Kisco,639,0,,14,1,0
2,246017924601822,246017924601822+502294+0,Mt Kisco,639,0,,14,1,0
2,246018524601883,246018524601883+502294+0,Mt Kisco,639,0,,14,1,0
3,246018424601906,246018424601906+502326+0,New Haven,6504,0,,16,1,0
3,246019224601921,246019224601921+502405+0,New Haven,6530,0,,16,0,0
3,246019124601921,246019124601921+502484+0,Grand Central,6555,1,,5,0,0
2,246020724602092,246020724602092+502551+0,Grand Central,662,1,,3,1,0
2,246018224601825,246018224601825+502552+0,Grand Central,662,1,,3,1,0
2,246018924601895,246018924601895+502570+0,Grand Central,670,1,,3,0,0
2,246019924602242,246019924602242+502571+0,Grand Central,670,1,,3,1,0
2,246018524601882,246018524601882+502602+1,Mt Kisco,673,0,,14,1,1
2,246022424602245,246022424602245+502602+1,Mt Kisco,673,0,,14,1,1
2,246021324602233,246021324602233+502602+1,Mt Kisco,673,0,,14,1,1
2,246019924602022,246019924602022+502602+1,Mt Kisco,673,0,,14,1,1
