"service_id","date","exception_type"
"D6306363","20220806","1"
"D6306363","20220807","1"
"C65398C8","20220807","1"
"714E59CC","20220806","1"
"D764B5B7","20220805","1"
"D764B5B7","20220808","1"
"D764B5B7","20220809","1"
"D764B5B7","20220810","1"
"D764B5B7","20220811","1"
"D764B5B7","20220812","1"
"D764B5B7","20220815","1"
"D764B5B7","20220816","1"
"D764B5B7","20220817","1"
"D764B5B7","20220818","1"
"D764B5B7","20220819","1"
"D764B5B7","20220822","1"
"D764B5B7","20220823","1"
"D764B5B7","20220824","1"
"D764B5B7","20220825","1"
"D764B5B7","20220826","1"
"D764B5B7","20220829","1"
"D764B5B7","20220830","1"
"D764B5B7","20220831","1"
"D764B5B7","20220901","1"
"D764B5B7","20220902","1"
"1C6C1D58","20220813","1"
"1C6C1D58","20220814","1"
"1C6C1D58","20220820","1"
"1C6C1D58","20220821","1"
"1C6C1D58","20220827","1"
"1C6C1D58","20220828","1"
"1C6C1D58","20220903","1"
"1C6C1D58","20220904","1"
"1C6C1D58","20220905","1"
"CC9AAB33","20220808","1"
"CC9AAB33","20220815","1"
"CC9AAB33","20220822","1"
"CC9AAB33","20220829","1"
"2A9485DE","20220902","1"
"0A1D4362","20220805","1"
"0A1D4362","20220812","1"
"0A1D4362","20220819","1"
"0A1D4362","20220826","1"
"0A1D4362","20220902","1"
"80B67BCD","20220808","1"
"80B67BCD","20220809","1"
"80B67BCD","20220810","1"
"80B67BCD","20220811","1"
"80B67BCD","20220815","1"
"80B67BCD","20220816","1"
"80B67BCD","20220817","1"
"80B67BCD","20220818","1"
"80B67BCD","20220822","1"
"80B67BCD","20220823","1"
"80B67BCD","20220824","1"
"80B67BCD","20220825","1"
"80B67BCD","20220829","1"
"80B67BCD","20220830","1"
"80B67BCD","20220831","1"
"80B67BCD","20220901","1"
"22DE8B1F","20220805","1"
"22DE8B1F","20220808","1"
"22DE8B1F","20220809","1"
"22DE8B1F","20220810","1"
"22DE8B1F","20220811","1"
"22DE8B1F","20220812","1"
"22DE8B1F","20220815","1"
"22DE8B1F","20220816","1"
"22DE8B1F","20220817","1"
"22DE8B1F","20220818","1"
"22DE8B1F","20220819","1"
"22DE8B1F","20220822","1"
"22DE8B1F","20220823","1"
"22DE8B1F","20220824","1"
"22DE8B1F","20220825","1"
"22DE8B1F","20220826","1"
"22DE8B1F","20220829","1"
"22DE8B1F","20220830","1"
"22DE8B1F","20220831","1"
"22DE8B1F","20220901","1"
"22DE8B1F","20220902","1"
"22DE8B1F","20220905","1"
"EC689491","20220805","1"
"EC689491","20220811","1"
"EC689491","20220812","1"
"EC689491","20220818","1"
"EC689491","20220819","1"
"EC689491","20220825","1"
"EC689491","20220826","1"
"EC689491","20220901","1"
"EC689491","20220902","1"
"ACFA4347","20220805","1"
"ACFA4347","20220809","1"
"ACFA4347","20220810","1"
"ACFA4347","20220811","1"
"ACFA4347","20220812","1"
"ACFA4347","20220816","1"
"ACFA4347","20220817","1"
"ACFA4347","20220818","1"
"ACFA4347","20220819","1"
"ACFA4347","20220823","1"
"ACFA4347","20220824","1"
"ACFA4347","20220825","1"
"ACFA4347","20220826","1"
"ACFA4347","20220830","1"
"ACFA4347","20220831","1"
"ACFA4347","20220901","1"
"ACFA4347","20220902","1"
"844875CE","20220811","1"
"844875CE","20220818","1"
"844875CE","20220825","1"
"844875CE","20220901","1"
"C2D59767","20220805","1"
"C2D59767","20220808","1"
"C2D59767","20220809","1"
"C2D59767","20220810","1"
"C2D59767","20220811","1"
"C2D59767","20220812","1"
"C2D59767","20220815","1"
"C2D59767","20220816","1"
"C2D59767","20220817","1"
"C2D59767","20220818","1"
"C2D59767","20220819","1"
"C2D59767","20220822","1"
"C2D59767","20220823","1"
"C2D59767","20220824","1"
"C2D59767","20220825","1"
"C2D59767","20220826","1"
"C2D59767","20220829","1"
"C2D59767","20220830","1"
"C2D59767","20220831","1"
"C2D59767","20220901","1"
"6FE4AFBC","20220814","1"
"6FE4AFBC","20220821","1"
"6FE4AFBC","20220828","1"
"6FE4AFBC","20220905","1"
"03FA2489","20220813","1"
"03FA2489","20220814","1"
"03FA2489","20220820","1"
"03FA2489","20220821","1"
"03FA2489","20220827","1"
